,orbit,date_time,cloud_cover,lwp_mean,lwp_std,homog_param,lwp_skew,lwp_curtosis,LvL_KS1,LvL_KS2
0,04848E,20250405T131207Z,0.7492114266418582,0.08400016278028488,0.09489471465349197,0.7835671254481285,3.2861857414245605,17.29871,0.384088707690426,0.5591252522140313
0,04895E,20250408T134126Z,0.19478135692144605,0.044043347239494324,0.05071374028921127,0.7542396343621327,4.52001428604126,31.780281,0.5920040041072384,0.19457381619704928
0,04786E,20250401T133403Z,0.7154342431761787,0.08447863161563873,0.08696777373552322,0.9435763246545039,2.989426612854004,15.084003,0.16634421597378513,0.5222672628567424
0,04817E,20250403T132309Z,0.709653979791343,0.06726779788732529,0.05840077996253967,1.3267134337783635,3.6575193405151367,29.745697,0.40073381076362635,0.5431250949729449
0,04879E,20250407T130051Z,0.11526580096141752,0.0479629747569561,0.07814450562000275,0.37671709302939155,7.247196197509766,89.77658,0.6719027062882255,0.23153906220623344
0,04988E,20250414T130805Z,0.3899228647048525,0.03224993869662285,0.02260630577802658,2.03516015602219,1.9048086404800415,5.6284657,0.37586017718289605,0.2625854546637503
0,05019E,20250416T125654Z,0.7238919557463822,0.029451316222548485,0.014239826239645481,4.277598687637052,0.8758998513221741,0.17205286,0.39771445192630245,0.4988920561950777
0,05128E,20250423T130426Z,0.40640374246132394,0.029649564996361732,0.01974337175488472,2.255246439422003,2.0278797149658203,5.6543007,0.4785616088641482,0.3045020251891781
0,05237E,20250430T131146Z,0.6796313195838657,0.054988961666822433,0.041649818420410156,1.743110077080585,1.7552677392959595,7.0160427,0.17504311505325265,0.4365049346872648
0,04957E,20250412T131922Z,0.4569336970248709,0.058391816914081573,0.08618450909852982,0.4590347388536094,6.754056930541992,74.0502,0.39056342109492487,0.43409252710002877
0,05097E,20250421T131534Z,0.7735896628516146,0.057930268347263336,0.05050087347626686,1.3158709546887621,3.6491148471832275,30.051079,0.3013479335795146,0.528057324543157
0,05144E,20250424T134515Z,0.5955811138014527,0.06378006190061569,0.08553104847669601,0.5560608012335637,7.847559452056885,99.60082,0.3347259751392704,0.5530891058889525
0,04926E,20250410T133028Z,0.23554742843584378,0.08514848351478577,0.1562696099281311,0.2968962957210531,6.22359037399292,57.615013,0.4920308485852069,0.34947974326238196
0,05035E,20250417T133744Z,0.7043405204385934,0.05889054760336876,0.053900089114904404,1.1937467959917096,3.8076388835906982,25.622368,0.3980908118170027,0.5624263455290338
0,05066E,20250419T132644Z,0.7703393494556742,0.06210003420710564,0.043911874294281006,1.9999527242722945,1.6074501276016235,3.622098,0.340413494708077,0.5689938767573596
0,05175E,20250426T133411Z,0.5276543801407759,0.03370785340666771,0.024163633584976196,1.945977031938537,2.14198637008667,7.3357964,0.424378133006063,0.33064810246946363
0,05206E,20250428T132258Z,0.4133455942334218,0.04148194566369057,0.028220757842063904,2.160632439614925,1.6842036247253418,5.4077377,0.35625978634113964,0.37458712836185815
